TICKET_ID,Member_Id,Member_Name,USER_ID,PRODUCT_NAME,REQUEST_TYPE,REQUEST_DATE,FULFILLED_DATE,CREDIT_UNITS_DEDUCTED,USAGE_CONTRACT_ID,DUNS_NUMBER,BORROWER_NAME,APPLICATION_REFERENCE_NO,APPLICATION_AMOUNT,SELF_ENQIRY,STATUS,RESTORE_CREDIT_UNITS,RESTORED_DATE,RESTORED_IN_CONTRACT_ID,RESTORED_REASON,CSE_USER,CSE_USER_NOTE,SEARCH_CRITERIA,CMR_DELIVERED
W-8106687,BP03060001,DCB Bank Limited,BF02030002,COMMERCIAL CIR - LIVE,LIVE,1/5/2017,1/5/2017,10,305,858859538,BORROWER_NAME 1,,11700000,NO,Completed,,,,,NO,,SEARCH_CRITERIA 1,1
W-8106688,NB69590001,NeoGrowth Credit Private Limited,nb69590012,COMMERCIAL CIR - WEB,WEB,1/5/2017,1/5/2017,10,781,916514927,BORROWER_NAME 2,,650000,NO,Completed,,,,,NO,,SEARCH_CRITERIA 2,2
W-8106689,HF63730001,FULLERTON INDIA HOME FINANCE COMPANY LIMITED,hf63730017,COMMERCIAL CIR - WEB,WEB,1/5/2017,1/5/2017,10,1287,999999999,BORROWER_NAME 3,2337715,8000000,NO,Completed,,,,,NO,,SEARCH_CRITERIA 3,2
W-8106690,HF63730001,FULLERTON INDIA HOME FINANCE COMPANY LIMITED,hf63730017,COMMERCIAL CIR - WEB,WEB,1/5/2017,1/5/2017,10,1287,999999999,BORROWER_NAME 4,2337715,8000000,NO,Completed,,,,,NO,,SEARCH_CRITERIA 4,2
W-8106692,BF02030001,AMERICAN EXPRESS BANK LTD.,bn01041465,COMMERCIAL CIR - WEB,WEB,1/5/2017,1/5/2017,10,793,650435535,BORROWER_NAME 5,,2900000,NO,Completed,,,,,NO,,SEARCH_CRITERIA 5,2
W-8106694,BP03080001,HDFC BANK LTD.,bp03082124,COMMERCIAL CIR - WEB,WEB,1/5/2017,1/5/2017,10,297,999999999,BORROWER_NAME 6,,21000000,NO,Completed,,,,,NO,,SEARCH_CRITERIA 6,2
W-8106695,BP03080001,HDFC BANK LTD.,bp03082337,COMMERCIAL CIR - WEB,WEB,1/5/2017,1/5/2017,10,297,677243963,BORROWER_NAME 7,,1000,NO,Completed,,,,,NO,,SEARCH_CRITERIA 7,2
W-8106696,BF02030001,AMERICAN EXPRESS BANK LTD.,bf02036004,COMMERCIAL CIR - WEB,WEB,1/5/2017,1/5/2017,10,793,676353560,BORROWER_NAME 8,,2950000,NO,Completed,,,,,NO,,SEARCH_CRITERIA 8,2
W-8106697,BN01120001,ORIENTAL BANK OF COMMERCE,bn01127040,COMMERCIAL CIR - WEB,WEB,1/5/2017,1/5/2017,10,341,999999999,BORROWER_NAME 9,,1200000,NO,Completed,,,,,NO,,SEARCH_CRITERIA 9,0
W-8106698,BP03090001,ICICI BANK LIMITED,bp03095392,COMMERCIAL CIR - WEB,WEB,1/5/2017,1/5/2017,10,276,915109036,BORROWER_NAME 10,,100000,NO,Completed,,,,,NO,,SEARCH_CRITERIA 10,2
